# POINTS: 7 7
x y ice_thickness
0 0 0
32500 0 0
34000 0 0
62500 0 0
91000 0 0
92500 0 0
125000 0 0
0 20000 0
32500 20000 0
34000 20000 0
62500 20000 0
91000 20000 0
92500 20000 0
125000 20000 0
0 21500 0
32500 21500 0
34000 21500 1000
62500 21500 1000
91000 21500 1000
92500 21500 0
125000 21500 0
0 50000 0
32500 50000 0
34000 50000 1000
62500 50000 1000
91000 50000 1000
92500 50000 0
125000 50000 0
0 78500 0
32500 78500 0
34000 78500 1000
62500 78500 1000
91000 78500 1000
92500 78500 0
125000 78500 0
0 80000 0
32500 80000 0
34000 80000 0
62500 80000 0
91000 80000 0
92500 80000 0
125000 80000 0
0 100000 0
32500 100000 0
34000 100000 0
62500 100000 0
91000 100000 0
92500 100000 0
125000 100000 0
