# POINTS: 17 11
x y basal_ice_velocity
0 0 0
10000 0 2.7144018e-06
20000 0 2.7425296e-07
30000 0 1.839008e-08
40000 0 2.1622474e-08
50000 0 2.6215991e-08
60000 0 3.0591109e-08
70000 0 3.4611555e-08
80000 0 3.8129466e-08
90000 0 4.0984476e-08
100000 0 4.2998692e-08
110000 0 4.3965339e-08
120000 0 4.3624289e-08
130000 0 4.1604823e-08
140000 0 3.7265752e-08
150000 0 2.9060005e-08
160000 0 4.4129565e-15
0 10000 0
10000 10000 0.0076012774
20000 10000 0.001842347
30000 10000 0.00029635442
40000 10000 3.6744718e-05
50000 10000 4.4550831e-05
60000 10000 5.1985803e-05
70000 10000 5.8818053e-05
80000 10000 6.4796308e-05
90000 10000 6.9648043e-05
100000 10000 7.3070954e-05
110000 10000 7.4713651e-05
120000 10000 7.4134079e-05
130000 10000 7.0702246e-05
140000 10000 6.3328532e-05
150000 10000 4.9383881e-05
160000 10000 7.4992733e-12
0 20000 0
10000 20000 0.93525229
20000 20000 0.54377759
30000 20000 0.20983066
40000 20000 0.058461921
50000 20000 0.014497837
60000 20000 0.016917344
70000 20000 0.019140711
80000 20000 0.021086169
90000 20000 0.022665032
100000 20000 0.023778924
110000 20000 0.024313494
120000 20000 0.024124888
130000 20000 0.023008093
140000 20000 0.020608522
150000 20000 0.01607062
160000 20000 2.4404314e-09
0 30000 0
10000 30000 5.0559261
20000 30000 7.0518151
30000 30000 6.5276405
40000 30000 4.3628275
50000 30000 2.1668114
60000 30000 1.0542351
70000 30000 1.1927883
80000 30000 1.314023
90000 30000 1.4124128
100000 30000 1.4818269
110000 30000 1.5151397
120000 30000 1.5033864
130000 30000 1.4337912
140000 30000 1.2842576
150000 30000 1.00147
160000 30000 1.5207993e-07
0 40000 0
10000 40000 3.0805829
20000 40000 5.0296119
30000 40000 8.9222267
40000 40000 14.305161
50000 40000 17.043292
60000 40000 15.296079
70000 40000 14.233986
80000 40000 15.680725
90000 40000 16.854847
100000 40000 17.683192
110000 40000 18.080725
120000 40000 17.940469
130000 40000 17.109964
140000 40000 15.325523
150000 40000 11.950914
160000 40000 1.8148263e-06
0 50000 0
10000 50000 7.0396968
20000 50000 11.493586
30000 50000 15.911619
40000 50000 20.320382
50000 50000 24.63728
60000 50000 28.748931
70000 50000 32.527268
80000 50000 35.833333
90000 50000 38.516416
100000 50000 40.409337
110000 50000 41.317773
120000 50000 40.997262
130000 50000 39.099406
140000 50000 35.021631
150000 50000 27.31003
160000 50000 4.147211e-06
0 60000 0
10000 60000 3.0805829
20000 60000 5.0296119
30000 60000 8.9222267
40000 60000 14.305161
50000 60000 17.043292
60000 60000 15.296079
70000 60000 14.233986
80000 60000 15.680725
90000 60000 16.854847
100000 60000 17.683192
110000 60000 18.080725
120000 60000 17.940469
130000 60000 17.109964
140000 60000 15.325523
150000 60000 11.950914
160000 60000 1.8148263e-06
0 70000 0
10000 70000 5.0559261
20000 70000 7.0518151
30000 70000 6.5276405
40000 70000 4.3628275
50000 70000 2.1668114
60000 70000 1.0542351
70000 70000 1.1927883
80000 70000 1.314023
90000 70000 1.4124128
100000 70000 1.4818269
110000 70000 1.5151397
120000 70000 1.5033864
130000 70000 1.4337912
140000 70000 1.2842576
150000 70000 1.00147
160000 70000 1.5207993e-07
0 80000 0
10000 80000 0.93525229
20000 80000 0.54377759
30000 80000 0.20983066
40000 80000 0.058461921
50000 80000 0.014497837
60000 80000 0.016917344
70000 80000 0.019140711
80000 80000 0.021086169
90000 80000 0.022665032
100000 80000 0.023778924
110000 80000 0.024313494
120000 80000 0.024124888
130000 80000 0.023008093
140000 80000 0.020608522
150000 80000 0.01607062
160000 80000 2.4404314e-09
0 90000 0
10000 90000 0.0076012774
20000 90000 0.001842347
30000 90000 0.00029635442
40000 90000 3.6744718e-05
50000 90000 4.4550831e-05
60000 90000 5.1985803e-05
70000 90000 5.8818053e-05
80000 90000 6.4796308e-05
90000 90000 6.9648043e-05
100000 90000 7.3070954e-05
110000 90000 7.4713651e-05
120000 90000 7.4134079e-05
130000 90000 7.0702246e-05
140000 90000 6.3328532e-05
150000 90000 4.9383881e-05
160000 90000 7.4992733e-12
0 100000 0
10000 100000 2.7144018e-06
20000 100000 2.7425296e-07
30000 100000 1.839008e-08
40000 100000 2.1622474e-08
50000 100000 2.6215991e-08
60000 100000 3.0591109e-08
70000 100000 3.4611555e-08
80000 100000 3.8129466e-08
90000 100000 4.0984476e-08
100000 100000 4.2998692e-08
110000 100000 4.3965339e-08
120000 100000 4.3624289e-08
130000 100000 4.1604823e-08
140000 100000 3.7265752e-08
150000 100000 2.9060005e-08
160000 100000 4.4129565e-15
