# POINTS: 17 11
x y ice_thickness
0 0 0
10000 0 0.00025873447
20000 0 2.1682116e-05
30000 0 1.2420235e-06
40000 0 1.2745879e-06
50000 0 1.3709841e-06
60000 0 1.4375682e-06
70000 0 1.4767597e-06
80000 0 1.4897094e-06
90000 0 1.4767597e-06
100000 0 1.4375682e-06
110000 0 1.3709841e-06
120000 0 1.2745879e-06
130000 0 1.1434945e-06
140000 0 9.6689518e-07
150000 0 7.1401548e-07
160000 0 1.0296899e-13
0 10000 0
10000 10000 0.7245473
20000 10000 0.14565379
30000 10000 0.020015093
40000 10000 0.0021660044
50000 10000 0.0023298178
60000 10000 0.0024429692
70000 10000 0.0025095703
80000 10000 0.0025315767
90000 10000 0.0025095703
100000 10000 0.0024429692
110000 10000 0.0023298178
120000 10000 0.0021660044
130000 10000 0.0019432274
140000 10000 0.0016431187
150000 10000 0.0012133809
160000 10000 1.7498304e-10
0 20000 0
10000 20000 89.147452
20000 20000 42.990416
30000 20000 14.171478
40000 20000 3.4461764
50000 20000 0.75817485
60000 20000 0.79499685
70000 20000 0.81667032
80000 20000 0.8238317
90000 20000 0.81667032
100000 20000 0.79499685
110000 20000 0.75817485
120000 20000 0.70486631
130000 20000 0.63236968
140000 20000 0.53470759
150000 20000 0.39486131
160000 20000 5.6943399e-08
0 30000 0
10000 30000 481.92657
20000 30000 557.5082
30000 30000 440.86175
40000 30000 257.1772
50000 30000 113.31496
60000 30000 49.541677
70000 30000 50.892299
80000 30000 51.338574
90000 30000 50.892299
100000 30000 49.541677
110000 30000 47.247047
120000 30000 43.925028
130000 30000 39.407269
140000 30000 33.321278
150000 30000 24.606502
160000 30000 3.5485316e-06
0 40000 0
10000 40000 293.63854
20000 40000 397.6352
30000 40000 602.58657
40000 40000 843.25157
50000 40000 891.29121
60000 40000 718.80875
70000 40000 607.31674
80000 40000 612.6423
90000 40000 607.31674
100000 40000 591.19926
110000 40000 563.81659
120000 40000 524.1737
130000 40000 470.26159
140000 40000 397.6352
150000 40000 293.63854
160000 40000 4.2345948e-05
0 50000 0
10000 50000 671.01791
20000 50000 908.66936
30000 50000 1074.634
40000 50000 1197.833
50000 50000 1288.4243
60000 50000 1350.9987
70000 50000 1387.8301
80000 50000 1400
90000 50000 1387.8301
100000 50000 1350.9987
110000 50000 1288.4243
120000 50000 1197.833
130000 50000 1074.634
140000 50000 908.66936
150000 50000 671.01791
160000 50000 9.6768257e-05
0 60000 0
10000 60000 293.63854
20000 60000 397.6352
30000 60000 602.58657
40000 60000 843.25157
50000 60000 891.29121
60000 60000 718.80875
70000 60000 607.31674
80000 60000 612.6423
90000 60000 607.31674
100000 60000 591.19926
110000 60000 563.81659
120000 60000 524.1737
130000 60000 470.26159
140000 60000 397.6352
150000 60000 293.63854
160000 60000 4.2345948e-05
0 70000 0
10000 70000 481.92657
20000 70000 557.5082
30000 70000 440.86175
40000 70000 257.1772
50000 70000 113.31496
60000 70000 49.541677
70000 70000 50.892299
80000 70000 51.338574
90000 70000 50.892299
100000 70000 49.541677
110000 70000 47.247047
120000 70000 43.925028
130000 70000 39.407269
140000 70000 33.321278
150000 70000 24.606502
160000 70000 3.5485316e-06
0 80000 0
10000 80000 89.147452
20000 80000 42.990416
30000 80000 14.171478
40000 80000 3.4461764
50000 80000 0.75817485
60000 80000 0.79499685
70000 80000 0.81667032
80000 80000 0.8238317
90000 80000 0.81667032
100000 80000 0.79499685
110000 80000 0.75817485
120000 80000 0.70486631
130000 80000 0.63236968
140000 80000 0.53470759
150000 80000 0.39486131
160000 80000 5.6943399e-08
0 90000 0
10000 90000 0.7245473
20000 90000 0.14565379
30000 90000 0.020015093
40000 90000 0.0021660044
50000 90000 0.0023298178
60000 90000 0.0024429692
70000 90000 0.0025095703
80000 90000 0.0025315767
90000 90000 0.0025095703
100000 90000 0.0024429692
110000 90000 0.0023298178
120000 90000 0.0021660044
130000 90000 0.0019432274
140000 90000 0.0016431187
150000 90000 0.0012133809
160000 90000 1.7498304e-10
0 100000 0
10000 100000 0.00025873447
20000 100000 2.1682116e-05
30000 100000 1.2420235e-06
40000 100000 1.2745879e-06
50000 100000 1.3709841e-06
60000 100000 1.4375682e-06
70000 100000 1.4767597e-06
80000 100000 1.4897094e-06
90000 100000 1.4767597e-06
100000 100000 1.4375682e-06
110000 100000 1.3709841e-06
120000 100000 1.2745879e-06
130000 100000 1.1434945e-06
140000 100000 9.6689518e-07
150000 100000 7.1401548e-07
160000 100000 1.0296899e-13
