# POINTS: 17 11
x y basal_ice_velocity
0 0 0
10000 0 0
20000 0 0
30000 0 0
40000 0 0
50000 0 0
60000 0 0
70000 0 0
80000 0 0
90000 0 0
100000 0 0
110000 0 0
120000 0 0
130000 0 0
140000 0 0
150000 0 0
160000 0 0
0 10000 0
10000 10000 0
20000 10000 0
30000 10000 0
40000 10000 0
50000 10000 0
60000 10000 0
70000 10000 0
80000 10000 0
90000 10000 0
100000 10000 0
110000 10000 0
120000 10000 0
130000 10000 0
140000 10000 0
150000 10000 0
160000 10000 0
0 20000 0
10000 20000 0
20000 20000 0
30000 20000 0
40000 20000 0
50000 20000 0
60000 20000 0
70000 20000 0
80000 20000 0
90000 20000 0
100000 20000 0
110000 20000 0
120000 20000 0
130000 20000 0
140000 20000 0
150000 20000 0
160000 20000 0
0 30000 0
10000 30000 0
20000 30000 0
30000 30000 0
40000 30000 0
50000 30000 0
60000 30000 0
70000 30000 0
80000 30000 0
90000 30000 0
100000 30000 0
110000 30000 0
120000 30000 0
130000 30000 0
140000 30000 0
150000 30000 0
160000 30000 0
0 40000 0
10000 40000 0
20000 40000 0
30000 40000 0
40000 40000 0
50000 40000 0
60000 40000 0
70000 40000 0
80000 40000 0
90000 40000 0
100000 40000 0
110000 40000 0
120000 40000 0
130000 40000 0
140000 40000 0
150000 40000 0
160000 40000 0
0 50000 0
10000 50000 0
20000 50000 0
30000 50000 0
40000 50000 0
50000 50000 0
60000 50000 0
70000 50000 0
80000 50000 0
90000 50000 0
100000 50000 0
110000 50000 0
120000 50000 0
130000 50000 0
140000 50000 0
150000 50000 0
160000 50000 0
0 60000 0
10000 60000 0
20000 60000 0
30000 60000 0
40000 60000 0
50000 60000 0
60000 60000 0
70000 60000 0
80000 60000 0
90000 60000 0
100000 60000 0
110000 60000 0
120000 60000 0
130000 60000 0
140000 60000 0
150000 60000 0
160000 60000 0
0 70000 0
10000 70000 0
20000 70000 0
30000 70000 0
40000 70000 0
50000 70000 0
60000 70000 0
70000 70000 0
80000 70000 0
90000 70000 0
100000 70000 0
110000 70000 0
120000 70000 0
130000 70000 0
140000 70000 0
150000 70000 0
160000 70000 0
0 80000 0
10000 80000 0
20000 80000 0
30000 80000 0
40000 80000 0
50000 80000 0
60000 80000 0
70000 80000 0
80000 80000 0
90000 80000 0
100000 80000 0
110000 80000 0
120000 80000 0
130000 80000 0
140000 80000 0
150000 80000 0
160000 80000 0
0 90000 0
10000 90000 0
20000 90000 0
30000 90000 0
40000 90000 0
50000 90000 0
60000 90000 0
70000 90000 0
80000 90000 0
90000 90000 0
100000 90000 0
110000 90000 0
120000 90000 0
130000 90000 0
140000 90000 0
150000 90000 0
160000 90000 0
0 100000 0
10000 100000 0
20000 100000 0
30000 100000 0
40000 100000 0
50000 100000 0
60000 100000 0
70000 100000 0
80000 100000 0
90000 100000 0
100000 100000 0
110000 100000 0
120000 100000 0
130000 100000 0
140000 100000 0
150000 100000 0
160000 100000 0
